date,Track,score,total_score,percentage_score,weekly_score,weekly_rank
2025-03-04 8:38:00,reconcile_ai,10,10,100,107.74,1
2025-03-04 11:48:00,reconcile_ai,9.9,10,99,107.74,1
2025-03-04 17:43:00,reconcile_ai,5,5,100,107.74,1
2025-03-04 23:48:00,reconcile_ai,7,10,70,107.74,1
2025-03-05 10:53:00,reconcile_ai,7,10,70,107.74,1
2025-03-05 15:39:00,reconcile_ai,8.5,10,85,107.74,1
2025-03-06 9:41:00,reconcile_ai,7,20,35,107.74,1
2025-03-06 18:46:00,reconcile_ai,7.34,10,73.4,107.74,1
2025-03-06 18:57:00,reconcile_ai,10,10,100,107.74,1
2025-03-07 18:24:00,reconcile_ai,6,10,60,107.74,1
2025-03-07 20:18:00,reconcile_ai,30,30,100,107.74,1
2025-03-10 9:21:00,reconcile_ai,5.71,10,57.1,88.863,1
2025-03-10 15:31:00,reconcile_ai,7.1,10,71,88.863,1
2025-03-10 21:31:00,reconcile_ai,3.2,10,32,88.863,1
2025-03-11 7:37:00,reconcile_ai,1,1,100,88.863,1
2025-03-11 14:37:00,reconcile_ai,9,10,90,88.863,1
2025-03-11 19:20:00,reconcile_ai,9.25,10,92.5,88.863,1
2025-03-12 7:18:00,reconcile_ai,0,6,0,88.863,1
2025-03-12 12:15:00,reconcile_ai,3,3,100,88.863,1
2025-03-12 17:00:00,reconcile_ai,5.5,10,55,88.863,1
2025-03-12 19:08:00,reconcile_ai,6.37,10,63.7,88.863,1
2025-03-13 11:00:00,reconcile_ai,8,10,80,88.863,1
2025-03-13 13:14:00,reconcile_ai,6.9,10,69,88.863,1
2025-03-14 10:10:00,reconcile_ai,0,10,0,88.863,1
2025-03-14 13:53:00,reconcile_ai,3,10,30,88.863,1
2025-03-14 23:06:00,reconcile_ai,20.833,30,69.44333333,88.863,1
2025-03-17 14:58:00,reconcile_ai,10,10,100,105,2
2025-03-17 20:58:00,reconcile_ai,9.5,10,95,105,2
2025-03-18 9:00:00,reconcile_ai,4.5,5,90,105,2
2025-03-18 19:29:00,reconcile_ai,3,10,30,105,2
2025-03-19 4:30:00,reconcile_ai,7.5,10,75,105,2
2025-03-19 21:10:00,reconcile_ai,11,15,73.33333333,105,2
2025-03-20 9:35:00,reconcile_ai,6,10,60,105,2
2025-03-20 13:19:00,reconcile_ai,0,10,0,105,2
2025-03-20 13:50:00,reconcile_ai,0,5,0,105,2
2025-03-20 20:17:00,reconcile_ai,8,10,80,105,2
